"names" "transcripts" "pool_ratio" "weighted_length"
"597" "YKL136W" 0.657 28.2810718358
"598" "YNL175C" 0.657 28.7213565536
"599" "YBL094C" 0.657 29.7554744526
"600" "YJL135W" 0.657 30.3507462687
"601" "YDR209C" 0.658 27.7173913043
"602" "YHR079C" 0.658 29.3361522199
"603" "YEL003W" 0.659 25.9062384644
"604" "YOL027C" 0.659 28.1554289914
"605" "YPR168W" 0.66 26.5532251682
"606" "YNL095C" 0.66 28.3337076128
"607" "YPR074C" 0.66 28.3639991133
"608" "YLR002C" 0.66 30.2989180268
"609" "YCR020C" 0.661 30.1261140071
"610" "YGR102C" 0.661 31.2107795958
"611" "YFR042W" 0.662 29.155168754
"612" "YOR300W" 0.662 29.1959910913
"613" "YOR340C" 0.663 25.4426596937
"614" "YGL071W" 0.663 26.3711510643
"615" "YOR218C" 0.663 27.0466908432
"616" "YDR442W" 0.664 25.7056493642
"617" "YFL042C" 0.664 28.5057251908
"618" "YBR122C" 0.664 28.7259569606
"619" "YBR209W" 0.664 29.0340581104
"620" "YNR031C" 0.665 25.1420155691
"621" "YHR090C" 0.665 26.1384845091
"622" "YIL026C" 0.666 24.5798397615
"623" "YDR159W" 0.666 25.533124265
"624" "YOR073W" 0.666 27.114168836
"625" "YKL103C" 0.666 27.4312733671
"626" "YKL038W" 0.666 28.210989011
"627" "YHR079C-A" 0.666 28.5681389994
